140497455394816,24420407323
140497455378432,24420419817
140497455382528,24420431879
140497455403008,24420437991
140497455411200,24420447839
140497455419392,24420458599
140497455427584,24420468468
140497455435776,24420478496
140497455443968,24420488265
140497455452160,24420498754
140497455460352,24420508432
140497455468544,24420518652
140497455484928,24420536715
140497455493120,24420546954
140497455501312,24420557574
140497455509504,24420569186
140497455517696,24420578834
140497455525888,24420589063
140497455534080,24420598711
140497455542272,24420609491
140497455550464,24420619741
140497455558656,24420629689
140497455583232,24420656319
140497455591424,24420666448
140497455607808,24420684662
140497455616000,24420694881
140497455624192,24420704539
140497455632384,24420714478
140497455648768,24420732722
140497455656960,24420742691
140497455665152,24420753190
140497455673344,24420763279
140497455681536,24420784258
140497455689728,24420795700
140497455697920,24420805418
140497455706112,24420815397
140497455714304,24420825105
140497455722496,24420835043
140497455730688,24420845032
140497455738880,24420855031
140497455747072,24420865140
140497455755264,24420875188
140497455763456,24420885007
140497455771648,24420894985
140497455779840,24420904974
140497455788032,24420916826
140497455796224,24420926574
140497455804416,24420936533
140497455812608,24420946191
140497455820800,24420956260
140497455837184,24420974294
140497455845376,24420984513
140497455853568,24420994522
140497455861760,24421004791
140497455869952,24421014399
140497455878144,24421024447
140497455886336,24421034136
140497455894528,24421044625
140497455902720,24421054283
140497455910912,24421064603
140497455919104,24421075222
140497455927296,24421085452
140497455935488,24421095090
140497455943680,24421105469
140497455951872,24421115438
140497455960064,24421132209
140497455968256,24421141877
140497455976448,24421152297
140497455984640,24421162045
140497455992832,24421171883
140497456001024,24421181611
140497456009216,24421191610
140497456017408,24421201298
140497456025600,24421211427
140497456033792,24421221135
140497456050176,24421240271
140497456058368,24421250039
140497456066560,24421259958
140497456074752,24421269586
140497456082944,24421279915
140497456091136,24421289543
140497456099328,24421299372
140497456107520,24421309050
140497456115712,24421319670
140497456123904,24421329779
140497456132096,24421339687
140497456140288,24421349315
140497456148480,24421359294
140497456156672,24421368942
140497456164864,24421379031
140497456173056,24421389390
140497456181248,24421399399
140497456189440,24421409327
140497456197632,24421419166
140497456205824,24421428904
140497456222208,24421447469
140497456230400,24421457347
140497456238592,24421467656
140497456246784,24421477324
140497456254976,24421487273
